member,party,total_earnings,num_interests
Rishi Sunak,conservative,2437801.5,13
Nigel Farage,reform,1262351.75,73
Dame Siobhain McDonagh,labour,1200000.0,1
Charlie Maynard,liberal-democrat,999908.2,26
Sir Geoffrey Cox,conservative,932737.83,24
Sir Jeremy Hunt,conservative,348275.95,33
Mrs Kemi Badenoch,conservative,298808.88,10
David Davis,conservative,290991.76,4
Sir Oliver Dowden,conservative,253326.39,28
Andrew Lewin,labour,180580.51,10
Nick Timothy,conservative,169524.0,6
Wes Streeting,labour,166106.19,7
Sir James Cleverly,conservative,132367.5,9
Robert Jenrick,conservative,124200.0,11
Tim Farron,liberal-democrat,123867.42,9
Daisy Cooper,liberal-democrat,122455.77,15
Rupert Lowe,independent,121066.02,44
Shabana Mahmood,labour,120668.0,6
Clive Lewis,labour,119362.85,30
Lee Anderson,reform,119285.51,38
John McDonnell,labour,117737.0,4
Lucy Powell,labourco-operative,116432.0,8
Tony Vaughan,labour,113275.67,29
Tom Tugendhat,conservative,107853.92,20
Laura Trott,conservative,106836.0,12
Sir Andrew Mitchell,conservative,106204.0,10
Sir John Hayes,conservative,104836.1,7
Alan Mak,conservative,104795.59,15
Yuan Yang,labour,102632.07,11
Bridget Phillipson,labour,94223.17,12
Munira Wilson,liberal-democrat,89519.02,18
David Pinto-Duschinsky,labour,85389.20999999999,6
Josh Simons,labour,84650.0,7
Suella Braverman,conservative,84056.93,33
Liz Saville Roberts,plaid-cymru,79788.8,16
Rebecca Long Bailey,labour,77901.0,5
Dr Neil Shastri-Hurst,conservative,71871.1,43
Chris Bryant,labour,70700.3,11
Mike Martin,liberal-democrat,70398.03,35
Ayoub Khan,independent,70211.8,21
Joe Powell,labour,67640.55,5
Jo White,labour,66634.4,6
Sir Gavin Williamson,conservative,64760.0,3
Angela Rayner,labour,63950.0,6
John Glen,conservative,60590.0,2
Dame Caroline Dinenage,conservative,60314.94,7
Steve Barclay,conservative,58768.72,14
Sir Mel Stride,conservative,58340.0,6
Olivia Blake,labour,57307.0,6
Mark Garnier,conservative,56246.56,11
