id,hash,category,member,party,mnis_id,twfy_id,summary,value,payer_name,received_date,registered,published,raw_json,first_seen,last_seen
590,adb18a9470e6622b3b686b5231b726b1,ongoing_employment,Sarah Gibson,liberal-democrat,5239,26585,Agreement starting 01 December 2025 - £418.78,418.78,,,2025-12-03,2025-12-03,"{""id"": 14051, ""summary"": ""Agreement starting 01 December 2025 - \u00a3418.78"", ""parent_interest_id"": 13302, ""registered"": ""2025-12-03"", ""published"": ""2025-12-03"", ""updated_1"": NaN, ""category"": ""Employment and earnings - Ongoing paid employment"", ""mnis_id"": 5239, ""twfy_id"": 26585, ""party"": ""liberal-democrat"", ""member"": ""Sarah Gibson"", ""regularity_of_payment"": ""Monthly"", ""start_date"": NaN, ""end_date"": NaN, ""period_for_hours_worked"": ""Yearly"", ""job_title"": NaN, ""payment_type"": ""Monetary"", ""payment_description"": NaN, ""value"": 418.78, ""hours_worked"": 189.8, ""hours_details"": NaN, ""is_ultimate_payer_different"": false, ""ultimate_payer_name"": NaN, ""ultimate_payer_protected_by_confidentiality"": false, ""ultimate_payer_address"": NaN, ""ultimate_payer_nature_of_business"": NaN, ""is_payment_donated"": false, ""donatee_paid_by"": NaN, ""donatee_type"": NaN, ""donatee_details"": NaN, ""link"": ""https://interests-api.parliament.uk/api/v1/Interests/14051"", ""updated_2"": NaN, ""updated_3"": NaN, ""updated_4"": NaN, ""updated_5"": NaN, ""updated_6"": NaN, ""category_code"": 1.2}",2026-01-05T13:49:01.596133,2026-01-21T06:36:25.376214
591,fd8bb6ee2cca85b74089152d82abc1bc,ongoing_employment,Mark Garnier,conservative,4074,24824,Agreement starting 18 November 2025 - £0.00,0.0,,,2025-11-22,2025-11-22,"{""id"": 13942, ""summary"": ""Agreement starting 18 November 2025 - \u00a30.00"", ""parent_interest_id"": 13941, ""registered"": ""2025-11-22"", ""published"": ""2025-11-22"", ""updated_1"": NaN, ""category"": ""Employment and earnings - Ongoing paid employment"", ""mnis_id"": 4074, ""twfy_id"": 24824, ""party"": ""conservative"", ""member"": ""Mark Garnier"", ""regularity_of_payment"": ""Yearly"", ""start_date"": NaN, ""end_date"": NaN, ""period_for_hours_worked"": ""Monthly"", ""job_title"": NaN, ""payment_type"": ""In kind"", ""payment_description"": ""Growth shares relating to the business, number still to be determined. This is in lieu of payment until such time as the company achieves financial targets that set the threshold for remuneration. (The contract was signed on the 18th November, but the terms are backdated to the 22 September.)"", ""value"": 0.0, ""hours_worked"": 8.0, ""hours_details"": ""approximate"", ""is_ultimate_payer_different"": false, ""ultimate_payer_name"": NaN, ""ultimate_payer_protected_by_confidentiality"": false, ""ultimate_payer_address"": NaN, ""ultimate_payer_nature_of_business"": NaN, ""is_payment_donated"": false, ""donatee_paid_by"": NaN, ""donatee_type"": NaN, ""donatee_details"": NaN, ""link"": ""https://interests-api.parliament.uk/api/v1/Interests/13942"", ""updated_2"": NaN, ""updated_3"": NaN, ""updated_4"": NaN, ""updated_5"": NaN, ""updated_6"": NaN, ""category_code"": 1.2}",2026-01-05T13:49:01.596133,2026-01-21T06:36:25.376214
592,98d813cbab237bbe6996653497edb0a3,ongoing_employment,Sir Gavin Williamson,conservative,4108,24729,"Agreement starting 15 September 2025 - £4,000.00",4000.0,,,2025-11-14,2025-11-14,"{""id"": 13832, ""summary"": ""Agreement starting 15 September 2025 - \u00a34,000.00"", ""parent_interest_id"": 13571, ""registered"": ""2025-11-14"", ""published"": ""2025-11-14"", ""updated_1"": NaN, ""category"": ""Employment and earnings - Ongoing paid employment"", ""mnis_id"": 4108, ""twfy_id"": 24729, ""party"": ""conservative"", ""member"": ""Sir Gavin Williamson"", ""regularity_of_payment"": ""Monthly"", ""start_date"": NaN, ""end_date"": NaN, ""period_for_hours_worked"": ""Weekly"", ""job_title"": NaN, ""payment_type"": ""Monetary"", ""payment_description"": NaN, ""value"": 4000.0, ""hours_worked"": 7.0, ""hours_details"": NaN, ""is_ultimate_payer_different"": false, ""ultimate_payer_name"": NaN, ""ultimate_payer_protected_by_confidentiality"": false, ""ultimate_payer_address"": NaN, ""ultimate_payer_nature_of_business"": NaN, ""is_payment_donated"": false, ""donatee_paid_by"": NaN, ""donatee_type"": NaN, ""donatee_details"": NaN, ""link"": ""https://interests-api.parliament.uk/api/v1/Interests/13832"", ""updated_2"": NaN, ""updated_3"": NaN, ""updated_4"": NaN, ""updated_5"": NaN, ""updated_6"": NaN, ""category_code"": 1.2}",2026-01-05T13:49:01.596133,2026-01-21T06:36:25.376214
593,c69c25048bef950200c03079295d976e,ongoing_employment,Sir Geoffrey Clifton-Brown,conservative,249,10119,"Agreement - £15,000.00",15000.0,,,,2025-10-28,"{""id"": 4708, ""summary"": ""Agreement - \u00a315,000.00"", ""parent_interest_id"": 4707, ""registered"": NaN, ""published"": ""2025-10-28"", ""updated_1"": ""2014-03-19"", ""category"": ""Employment and earnings - Ongoing paid employment"", ""mnis_id"": 249, ""twfy_id"": 10119, ""party"": ""conservative"", ""member"": ""Sir Geoffrey Clifton-Brown"", ""regularity_of_payment"": ""Yearly"", ""start_date"": NaN, ""end_date"": NaN, ""period_for_hours_worked"": ""Yearly"", ""job_title"": NaN, ""payment_type"": ""In kind"", ""payment_description"": ""The use of a car belonging to the partnership (value as at 29 September 2025)"", ""value"": 15000.0, ""hours_worked"": 268.0, ""hours_details"": ""maximum"", ""is_ultimate_payer_different"": false, ""ultimate_payer_name"": NaN, ""ultimate_payer_protected_by_confidentiality"": false, ""ultimate_payer_address"": NaN, ""ultimate_payer_nature_of_business"": NaN, ""is_payment_donated"": false, ""donatee_paid_by"": NaN, ""donatee_type"": NaN, ""donatee_details"": NaN, ""link"": ""https://interests-api.parliament.uk/api/v1/Interests/4708"", ""updated_2"": ""2019-10-31"", ""updated_3"": ""2020-11-11"", ""updated_4"": ""2022-11-22"", ""updated_5"": ""2025-01-03"", ""updated_6"": ""2025-10-27"", ""category_code"": 1.2}",2026-01-05T13:49:01.596133,2026-01-21T06:36:25.376214
594,7e5503f5db7be428a30cc70fc94e36f3,ongoing_employment,Dan Carden,labour,4651,25642,"Agreement starting 27 August 2025 - £1,458.00",1458.0,,,2025-09-19,2025-09-19,"{""id"": 13339, ""summary"": ""Agreement starting 27 August 2025 - \u00a31,458.00"", ""parent_interest_id"": 13338, ""registered"": ""2025-09-19"", ""published"": ""2025-09-19"", ""updated_1"": NaN, ""category"": ""Employment and earnings - Ongoing paid employment"", ""mnis_id"": 4651, ""twfy_id"": 25642, ""party"": ""labour"", ""member"": ""Dan Carden"", ""regularity_of_payment"": ""Monthly"", ""start_date"": NaN, ""end_date"": NaN, ""period_for_hours_worked"": ""Monthly"", ""job_title"": NaN, ""payment_type"": ""In kind"", ""payment_description"": ""Share options of 0.1% (valued at \u00a335,000 in total)"", ""value"": 1458.0, ""hours_worked"": 5.0, ""hours_details"": ""approximately"", ""is_ultimate_payer_different"": false, ""ultimate_payer_name"": NaN, ""ultimate_payer_protected_by_confidentiality"": false, ""ultimate_payer_address"": NaN, ""ultimate_payer_nature_of_business"": NaN, ""is_payment_donated"": false, ""donatee_paid_by"": NaN, ""donatee_type"": NaN, ""donatee_details"": NaN, ""link"": ""https://interests-api.parliament.uk/api/v1/Interests/13339"", ""updated_2"": NaN, ""updated_3"": NaN, ""updated_4"": NaN, ""updated_5"": NaN, ""updated_6"": NaN, ""category_code"": 1.2}",2026-01-05T13:49:01.596133,2026-01-21T06:36:25.376214
595,aee2d33b76b43240cacd8bf580712473,ongoing_employment,Kit Malthouse,conservative,4495,25346,"Agreement starting 01 July 2025 - £25,000.00",25000.0,,,2025-08-12,2025-08-12,"{""id"": 13098, ""summary"": ""Agreement starting 01 July 2025 - \u00a325,000.00"", ""parent_interest_id"": 13096, ""registered"": ""2025-08-12"", ""published"": ""2025-08-12"", ""updated_1"": NaN, ""category"": ""Employment and earnings - Ongoing paid employment"", ""mnis_id"": 4495, ""twfy_id"": 25346, ""party"": ""conservative"", ""member"": ""Kit Malthouse"", ""regularity_of_payment"": ""Yearly"", ""start_date"": NaN, ""end_date"": NaN, ""period_for_hours_worked"": ""Monthly"", ""job_title"": NaN, ""payment_type"": ""Monetary"", ""payment_description"": NaN, ""value"": 25000.0, ""hours_worked"": 35.0, ""hours_details"": ""Hours worked between 10-35 hours/month"", ""is_ultimate_payer_different"": false, ""ultimate_payer_name"": NaN, ""ultimate_payer_protected_by_confidentiality"": false, ""ultimate_payer_address"": NaN, ""ultimate_payer_nature_of_business"": NaN, ""is_payment_donated"": false, ""donatee_paid_by"": NaN, ""donatee_type"": NaN, ""donatee_details"": NaN, ""link"": ""https://interests-api.parliament.uk/api/v1/Interests/13098"", ""updated_2"": NaN, ""updated_3"": NaN, ""updated_4"": NaN, ""updated_5"": NaN, ""updated_6"": NaN, ""category_code"": 1.2}",2026-01-05T13:49:01.596133,2026-01-21T06:36:25.376214
596,70d6d5124ec4c3f9457826c4e03077c9,ongoing_employment,Dr Neil Hudson,conservative,4853,25875,Agreement starting 15 July 2025 - £416.67,416.67,,,2025-07-25,2025-07-28,"{""id"": 13004, ""summary"": ""Agreement starting 15 July 2025 - \u00a3416.67"", ""parent_interest_id"": 13003, ""registered"": ""2025-07-25"", ""published"": ""2025-07-28"", ""updated_1"": NaN, ""category"": ""Employment and earnings - Ongoing paid employment"", ""mnis_id"": 4853, ""twfy_id"": 25875, ""party"": ""conservative"", ""member"": ""Dr Neil Hudson"", ""regularity_of_payment"": ""Monthly"", ""start_date"": NaN, ""end_date"": NaN, ""period_for_hours_worked"": ""Monthly"", ""job_title"": NaN, ""payment_type"": ""Monetary"", ""payment_description"": ""(\u00a35000 per annum)"", ""value"": 416.67, ""hours_worked"": 7.0, ""hours_details"": NaN, ""is_ultimate_payer_different"": false, ""ultimate_payer_name"": NaN, ""ultimate_payer_protected_by_confidentiality"": false, ""ultimate_payer_address"": NaN, ""ultimate_payer_nature_of_business"": NaN, ""is_payment_donated"": false, ""donatee_paid_by"": NaN, ""donatee_type"": NaN, ""donatee_details"": NaN, ""link"": ""https://interests-api.parliament.uk/api/v1/Interests/13004"", ""updated_2"": NaN, ""updated_3"": NaN, ""updated_4"": NaN, ""updated_5"": NaN, ""updated_6"": NaN, ""category_code"": 1.2}",2026-01-05T13:49:01.596133,2026-01-21T06:36:25.376214
597,af50159df217d2d9319077f5bd681d1b,ongoing_employment,Sir Andrew Mitchell,conservative,1211,11115,"Agreement starting 27 June 2025 - £22,000.00",22000.0,,,2025-07-10,2025-07-10,"{""id"": 12690, ""summary"": ""Agreement starting 27 June 2025 - \u00a322,000.00"", ""parent_interest_id"": 12689, ""registered"": ""2025-07-10"", ""published"": ""2025-07-10"", ""updated_1"": NaN, ""category"": ""Employment and earnings - Ongoing paid employment"", ""mnis_id"": 1211, ""twfy_id"": 11115, ""party"": ""conservative"", ""member"": ""Sir Andrew Mitchell"", ""regularity_of_payment"": ""Quarterly"", ""start_date"": NaN, ""end_date"": NaN, ""period_for_hours_worked"": ""Quarterly"", ""job_title"": NaN, ""payment_type"": ""Monetary"", ""payment_description"": ""(amount has been converted from US Dollars based on on 3 July 2025 exchange rate), Africa50 will meet the cost of any travel and other expenses arising from this role"", ""value"": 22000.0, ""hours_worked"": 30.0, ""hours_details"": ""approx."", ""is_ultimate_payer_different"": false, ""ultimate_payer_name"": NaN, ""ultimate_payer_protected_by_confidentiality"": false, ""ultimate_payer_address"": NaN, ""ultimate_payer_nature_of_business"": NaN, ""is_payment_donated"": false, ""donatee_paid_by"": NaN, ""donatee_type"": NaN, ""donatee_details"": NaN, ""link"": ""https://interests-api.parliament.uk/api/v1/Interests/12690"", ""updated_2"": NaN, ""updated_3"": NaN, ""updated_4"": NaN, ""updated_5"": NaN, ""updated_6"": NaN, ""category_code"": 1.2}",2026-01-05T13:49:01.596133,2026-01-21T06:36:25.376214
598,a80a6e85a79e2da7d3a4b05a31107281,ongoing_employment,Tom Tugendhat,conservative,4462,25374,"Agreement - £8,750.00",8750.0,,,2025-06-27,2025-06-30,"{""id"": 12735, ""summary"": ""Agreement - \u00a38,750.00"", ""parent_interest_id"": 12733, ""registered"": ""2025-06-27"", ""published"": ""2025-06-30"", ""updated_1"": NaN, ""category"": ""Employment and earnings - Ongoing paid employment"", ""mnis_id"": 4462, ""twfy_id"": 25374, ""party"": ""conservative"", ""member"": ""Tom Tugendhat"", ""regularity_of_payment"": ""Quarterly"", ""start_date"": NaN, ""end_date"": NaN, ""period_for_hours_worked"": ""Monthly"", ""job_title"": NaN, ""payment_type"": ""Monetary"", ""payment_description"": ""(payment will be made at the end of each quarter)"", ""value"": 8750.0, ""hours_worked"": 10.0, ""hours_details"": ""Estimated"", ""is_ultimate_payer_different"": false, ""ultimate_payer_name"": NaN, ""ultimate_payer_protected_by_confidentiality"": false, ""ultimate_payer_address"": NaN, ""ultimate_payer_nature_of_business"": NaN, ""is_payment_donated"": false, ""donatee_paid_by"": NaN, ""donatee_type"": NaN, ""donatee_details"": NaN, ""link"": ""https://interests-api.parliament.uk/api/v1/Interests/12735"", ""updated_2"": NaN, ""updated_3"": NaN, ""updated_4"": NaN, ""updated_5"": NaN, ""updated_6"": NaN, ""category_code"": 1.2}",2026-01-05T13:49:01.596133,2026-01-21T06:36:25.376214
599,be544aa7b497fc6dc091987036a6cec7,ongoing_employment,Richard Fuller,conservative,3912,24787,"Agreement starting 01 May 2025 - £15,000.00",15000.0,,,2025-05-21,2025-05-21,"{""id"": 12484, ""summary"": ""Agreement starting 01 May 2025 - \u00a315,000.00"", ""parent_interest_id"": 12483, ""registered"": ""2025-05-21"", ""published"": ""2025-05-21"", ""updated_1"": NaN, ""category"": ""Employment and earnings - Ongoing paid employment"", ""mnis_id"": 3912, ""twfy_id"": 24787, ""party"": ""conservative"", ""member"": ""Richard Fuller"", ""regularity_of_payment"": ""Yearly"", ""start_date"": NaN, ""end_date"": NaN, ""period_for_hours_worked"": ""Monthly"", ""job_title"": NaN, ""payment_type"": ""Monetary"", ""payment_description"": NaN, ""value"": 15000.0, ""hours_worked"": 8.0, ""hours_details"": NaN, ""is_ultimate_payer_different"": false, ""ultimate_payer_name"": NaN, ""ultimate_payer_protected_by_confidentiality"": false, ""ultimate_payer_address"": NaN, ""ultimate_payer_nature_of_business"": NaN, ""is_payment_donated"": false, ""donatee_paid_by"": NaN, ""donatee_type"": NaN, ""donatee_details"": NaN, ""link"": ""https://interests-api.parliament.uk/api/v1/Interests/12484"", ""updated_2"": NaN, ""updated_3"": NaN, ""updated_4"": NaN, ""updated_5"": NaN, ""updated_6"": NaN, ""category_code"": 1.2}",2026-01-05T13:49:01.596133,2026-01-21T06:36:25.376214
