id,hash,category,member,party,mnis_id,twfy_id,summary,value,payer_name,received_date,registered,published,raw_json,first_seen,last_seen
1,970bc420dc135daac9dc1589ea879165,ad_hoc_payments,Chris McDonald,labour,5116,26367,"Payment expected for services on 14 December 2025 - £3,000.00",3000.0,,,2025-12-14,2025-12-15,"{""id"": 14133, ""summary"": ""Payment expected for services on 14 December 2025 - \u00a33,000.00"", ""parent_interest_id"": 9814, ""registered"": ""2025-12-14"", ""published"": ""2025-12-15"", ""updated_1"": NaN, ""category"": ""Employment and earnings - Ad hoc payments"", ""mnis_id"": 5116, ""twfy_id"": 26367, ""party"": ""labour"", ""member"": ""Chris McDonald"", ""payment_received"": false, ""received_date"": NaN, ""job_title"": NaN, ""payment_type"": ""Monetary"", ""payment_description"": NaN, ""value"": 3000.0, ""hours_worked"": 42.0, ""hours_details"": NaN, ""is_ultimate_payer_different"": false, ""ultimate_payer_name"": NaN, ""ultimate_payer_protected_by_confidentiality"": false, ""ultimate_payer_address"": NaN, ""ultimate_payer_nature_of_business"": NaN, ""is_payment_donated"": false, ""donatee_paid_by"": NaN, ""donatee_type"": NaN, ""donatee_details"": NaN, ""link"": ""https://interests-api.parliament.uk/api/v1/Interests/14133"", ""category_code"": 1.1}",2026-01-05T13:49:01.596133,2026-02-12T07:00:41.097838
2,39bd23fc6e47a5cf9169766f4420f533,ad_hoc_payments,Sir Julian Smith,conservative,4118,24961,Payment received on 08 December 2025 - £385.51,385.51,,,2025-12-15,2025-12-15,"{""id"": 14132, ""summary"": ""Payment received on 08 December 2025 - \u00a3385.51"", ""parent_interest_id"": 11729, ""registered"": ""2025-12-15"", ""published"": ""2025-12-15"", ""updated_1"": NaN, ""category"": ""Employment and earnings - Ad hoc payments"", ""mnis_id"": 4118, ""twfy_id"": 24961, ""party"": ""conservative"", ""member"": ""Sir Julian Smith"", ""payment_received"": true, ""received_date"": NaN, ""job_title"": NaN, ""payment_type"": ""Monetary"", ""payment_description"": ""Incidental expenses reimbursment, incurred end Oct- Nov 2025"", ""value"": 385.51, ""hours_worked"": 0.0, ""hours_details"": NaN, ""is_ultimate_payer_different"": false, ""ultimate_payer_name"": NaN, ""ultimate_payer_protected_by_confidentiality"": false, ""ultimate_payer_address"": NaN, ""ultimate_payer_nature_of_business"": NaN, ""is_payment_donated"": false, ""donatee_paid_by"": NaN, ""donatee_type"": NaN, ""donatee_details"": NaN, ""link"": ""https://interests-api.parliament.uk/api/v1/Interests/14132"", ""category_code"": 1.1}",2026-01-05T13:49:01.596133,2026-02-12T07:00:41.097838
3,7309b6c012508fded12140e09acffedb,ad_hoc_payments,Paulette Hamilton,labour,4938,26061,Payment received on 05 December 2025 - £300.00,300.0,,,2025-12-15,2025-12-15,"{""id"": 14141, ""summary"": ""Payment received on 05 December 2025 - \u00a3300.00"", ""parent_interest_id"": 12134, ""registered"": ""2025-12-15"", ""published"": ""2025-12-15"", ""updated_1"": NaN, ""category"": ""Employment and earnings - Ad hoc payments"", ""mnis_id"": 4938, ""twfy_id"": 26061, ""party"": ""labour"", ""member"": ""Paulette Hamilton"", ""payment_received"": true, ""received_date"": NaN, ""job_title"": NaN, ""payment_type"": ""Monetary"", ""payment_description"": NaN, ""value"": 300.0, ""hours_worked"": 5.0, ""hours_details"": NaN, ""is_ultimate_payer_different"": false, ""ultimate_payer_name"": NaN, ""ultimate_payer_protected_by_confidentiality"": false, ""ultimate_payer_address"": NaN, ""ultimate_payer_nature_of_business"": NaN, ""is_payment_donated"": false, ""donatee_paid_by"": NaN, ""donatee_type"": NaN, ""donatee_details"": NaN, ""link"": ""https://interests-api.parliament.uk/api/v1/Interests/14141"", ""category_code"": 1.1}",2026-01-05T13:49:01.596133,2026-02-12T07:00:41.097838
4,aca71d91a06fd8a97cb3cd593742cac4,ad_hoc_payments,Lee Anderson,reform,4743,25894,Payment received on 13 November 2025 - £143.65,143.65,,,2025-12-11,2025-12-12,"{""id"": 14128, ""summary"": ""Payment received on 13 November 2025 - \u00a3143.65"", ""parent_interest_id"": 11502, ""registered"": ""2025-12-11"", ""published"": ""2025-12-12"", ""updated_1"": NaN, ""category"": ""Employment and earnings - Ad hoc payments"", ""mnis_id"": 4743, ""twfy_id"": 25894, ""party"": ""reform"", ""member"": ""Lee Anderson"", ""payment_received"": true, ""received_date"": NaN, ""job_title"": NaN, ""payment_type"": ""Monetary"", ""payment_description"": NaN, ""value"": 143.65, ""hours_worked"": 7.0, ""hours_details"": ""This is an estimated amount of hours."", ""is_ultimate_payer_different"": false, ""ultimate_payer_name"": NaN, ""ultimate_payer_protected_by_confidentiality"": false, ""ultimate_payer_address"": NaN, ""ultimate_payer_nature_of_business"": NaN, ""is_payment_donated"": false, ""donatee_paid_by"": NaN, ""donatee_type"": NaN, ""donatee_details"": NaN, ""link"": ""https://interests-api.parliament.uk/api/v1/Interests/14128"", ""category_code"": 1.1}",2026-01-05T13:49:01.596133,2026-02-12T07:00:41.097838
5,74755f8978004d061ceac95d45834818,ad_hoc_payments,Nigel Farage,reform,5091,26352,"Payment expected for services on 10 December 2025 - £37,246.80",37246.8,,,2025-12-10,2025-12-11,"{""id"": 14121, ""summary"": ""Payment expected for services on 10 December 2025 - \u00a337,246.80"", ""parent_interest_id"": 6852, ""registered"": ""2025-12-10"", ""published"": ""2025-12-11"", ""updated_1"": NaN, ""category"": ""Employment and earnings - Ad hoc payments"", ""mnis_id"": 5091, ""twfy_id"": 26352, ""party"": ""reform"", ""member"": ""Nigel Farage"", ""payment_received"": false, ""received_date"": NaN, ""job_title"": NaN, ""payment_type"": ""Monetary"", ""payment_description"": ""Date given is the date the invoice was submitted for payment"", ""value"": 37246.8, ""hours_worked"": 12.0, ""hours_details"": ""This number is an estimate"", ""is_ultimate_payer_different"": false, ""ultimate_payer_name"": NaN, ""ultimate_payer_protected_by_confidentiality"": false, ""ultimate_payer_address"": NaN, ""ultimate_payer_nature_of_business"": NaN, ""is_payment_donated"": false, ""donatee_paid_by"": NaN, ""donatee_type"": NaN, ""donatee_details"": NaN, ""link"": ""https://interests-api.parliament.uk/api/v1/Interests/14121"", ""category_code"": 1.1}",2026-01-05T13:49:01.596133,2026-02-12T07:00:41.097838
6,8bed684f74d97773285f1518b9db1bd5,ad_hoc_payments,Carla Denyer,green,5102,26379,"Payment received on 08 December 2025 - £1,800.00",1800.0,,,2025-12-11,2025-12-11,"{""id"": 14126, ""summary"": ""Payment received on 08 December 2025 - \u00a31,800.00"", ""parent_interest_id"": 11466, ""registered"": ""2025-12-11"", ""published"": ""2025-12-11"", ""updated_1"": NaN, ""category"": ""Employment and earnings - Ad hoc payments"", ""mnis_id"": 5102, ""twfy_id"": 26379, ""party"": ""green"", ""member"": ""Carla Denyer"", ""payment_received"": true, ""received_date"": NaN, ""job_title"": NaN, ""payment_type"": ""Monetary"", ""payment_description"": ""Fee for three appearances on Christmas University Challenge. Payment to be donated to charity"", ""value"": 1800.0, ""hours_worked"": 10.0, ""hours_details"": ""Estimated hours"", ""is_ultimate_payer_different"": false, ""ultimate_payer_name"": NaN, ""ultimate_payer_protected_by_confidentiality"": false, ""ultimate_payer_address"": NaN, ""ultimate_payer_nature_of_business"": NaN, ""is_payment_donated"": true, ""donatee_paid_by"": ""Donated by the Member to the recipient"", ""donatee_type"": ""Charity"", ""donatee_details"": NaN, ""link"": ""https://interests-api.parliament.uk/api/v1/Interests/14126"", ""category_code"": 1.1}",2026-01-05T13:49:01.596133,2026-02-12T07:00:41.097838
7,2f3212829bab8e4d30d4308d0d109bb6,ad_hoc_payments,Sir Iain Duncan Smith,conservative,152,10180,Payment received on 09 December 2025 - £250.00,250.0,,,2025-12-10,2025-12-10,"{""id"": 14113, ""summary"": ""Payment received on 09 December 2025 - \u00a3250.00"", ""parent_interest_id"": 3680, ""registered"": ""2025-12-10"", ""published"": ""2025-12-10"", ""updated_1"": NaN, ""category"": ""Employment and earnings - Ad hoc payments"", ""mnis_id"": 152, ""twfy_id"": 10180, ""party"": ""conservative"", ""member"": ""Sir Iain Duncan Smith"", ""payment_received"": true, ""received_date"": NaN, ""job_title"": NaN, ""payment_type"": ""Monetary"", ""payment_description"": ""Written article published on 18 November 2025"", ""value"": 250.0, ""hours_worked"": 4.0, ""hours_details"": NaN, ""is_ultimate_payer_different"": false, ""ultimate_payer_name"": NaN, ""ultimate_payer_protected_by_confidentiality"": false, ""ultimate_payer_address"": NaN, ""ultimate_payer_nature_of_business"": NaN, ""is_payment_donated"": false, ""donatee_paid_by"": NaN, ""donatee_type"": NaN, ""donatee_details"": NaN, ""link"": ""https://interests-api.parliament.uk/api/v1/Interests/14113"", ""category_code"": 1.1}",2026-01-05T13:49:01.596133,2026-02-12T07:00:41.097838
8,45da2090354e91ca61cd83d08ceb69e8,ad_hoc_payments,Sir James Cleverly,conservative,4366,25376,"Payment received on 05 December 2025 - £6,800.00",6800.0,,,2025-12-10,2025-12-10,"{""id"": 14114, ""summary"": ""Payment received on 05 December 2025 - \u00a36,800.00"", ""parent_interest_id"": 12649, ""registered"": ""2025-12-10"", ""published"": ""2025-12-10"", ""updated_1"": NaN, ""category"": ""Employment and earnings - Ad hoc payments"", ""mnis_id"": 4366, ""twfy_id"": 25376, ""party"": ""conservative"", ""member"": ""Sir James Cleverly"", ""payment_received"": true, ""received_date"": NaN, ""job_title"": NaN, ""payment_type"": ""Monetary"", ""payment_description"": NaN, ""value"": 6800.0, ""hours_worked"": 7.0, ""hours_details"": ""approximate hours including preparation and speech delivery"", ""is_ultimate_payer_different"": true, ""ultimate_payer_name"": ""Marketing in Partnership Ltd"", ""ultimate_payer_protected_by_confidentiality"": false, ""ultimate_payer_address"": ""New London House, 172 Drury Lane, London WC2B 5QR"", ""ultimate_payer_nature_of_business"": ""Marketing and events communications agency specialising in Financial Services"", ""is_payment_donated"": false, ""donatee_paid_by"": NaN, ""donatee_type"": NaN, ""donatee_details"": NaN, ""link"": ""https://interests-api.parliament.uk/api/v1/Interests/14114"", ""category_code"": 1.1}",2026-01-05T13:49:01.596133,2026-02-12T07:00:41.097838
9,9efb836e2b0f44edda8946f53572060c,ad_hoc_payments,Suella Braverman,conservative,4475,25272,"Payment received on 09 December 2025 - £3,000.00",3000.0,,,2025-12-10,2025-12-10,"{""id"": 14115, ""summary"": ""Payment received on 09 December 2025 - \u00a33,000.00"", ""parent_interest_id"": 10930, ""registered"": ""2025-12-10"", ""published"": ""2025-12-10"", ""updated_1"": NaN, ""category"": ""Employment and earnings - Ad hoc payments"", ""mnis_id"": 4475, ""twfy_id"": 25272, ""party"": ""conservative"", ""member"": ""Suella Braverman"", ""payment_received"": true, ""received_date"": NaN, ""job_title"": NaN, ""payment_type"": ""Monetary"", ""payment_description"": ""Writing articles"", ""value"": 3000.0, ""hours_worked"": 12.0, ""hours_details"": NaN, ""is_ultimate_payer_different"": false, ""ultimate_payer_name"": NaN, ""ultimate_payer_protected_by_confidentiality"": false, ""ultimate_payer_address"": NaN, ""ultimate_payer_nature_of_business"": NaN, ""is_payment_donated"": false, ""donatee_paid_by"": NaN, ""donatee_type"": NaN, ""donatee_details"": NaN, ""link"": ""https://interests-api.parliament.uk/api/v1/Interests/14115"", ""category_code"": 1.1}",2026-01-05T13:49:01.596133,2026-02-12T07:00:41.097838
10,b055dab24d4c5d5b3310fb1a4b98b2b4,ad_hoc_payments,Suella Braverman,conservative,4475,25272,Payment received on 25 November 2025 - £750.00,750.0,,,2025-12-10,2025-12-10,"{""id"": 14116, ""summary"": ""Payment received on 25 November 2025 - \u00a3750.00"", ""parent_interest_id"": 10669, ""registered"": ""2025-12-10"", ""published"": ""2025-12-10"", ""updated_1"": NaN, ""category"": ""Employment and earnings - Ad hoc payments"", ""mnis_id"": 4475, ""twfy_id"": 25272, ""party"": ""conservative"", ""member"": ""Suella Braverman"", ""payment_received"": true, ""received_date"": NaN, ""job_title"": ""Writing an article (not presenting a show)"", ""payment_type"": ""Monetary"", ""payment_description"": ""Writing an article"", ""value"": 750.0, ""hours_worked"": 3.0, ""hours_details"": NaN, ""is_ultimate_payer_different"": false, ""ultimate_payer_name"": NaN, ""ultimate_payer_protected_by_confidentiality"": false, ""ultimate_payer_address"": NaN, ""ultimate_payer_nature_of_business"": NaN, ""is_payment_donated"": false, ""donatee_paid_by"": NaN, ""donatee_type"": NaN, ""donatee_details"": NaN, ""link"": ""https://interests-api.parliament.uk/api/v1/Interests/14116"", ""category_code"": 1.1}",2026-01-05T13:49:01.596133,2026-02-12T07:00:41.097838
